# OptiScaler.ini 注释汉化词典 A
# 格式：英文<Tab>中文          —— 需要翻译
#        纯英文（无 Tab）        —— 有意保持原样
# 匹配为空白归一化，源文件里的对齐空格/制表符差异不影响命中。
Recommended for scenes with complex geometry or upscaling.	推荐用于几何结构复杂或采用超分的场景。
Reduces sharpening across object boundaries to prevent halos and artifacts.	降低物体边缘处的锐化强度，以避免光晕和画面伪影。
The farther away is the object, the more sharpening is applied (limited to 1.0)	物体距离越远，锐化强度越高（上限为 1.0）
-1 -> No shortcut key	-1 -> 不设置快捷键
0 - follow in-game setting, 1 - force disable, 2 - force enable	0 - 跟随游戏内设置，1 - 强制禁用，2 - 强制启用
0 is transparent and 1 is opaque	0 为透明，1 为不透明
0.0 to 1.0 - Default (auto) 0.99	0.0 至 1.0 - 默认（auto）0.99
0.0 to 1.0 - Default (auto) R: 0.0, G: 0.0, B: 0.0 (Black)	0.0 至 1.0 - 默认（auto）R: 0.0, G: 0.0, B: 0.0（黑色）
0.0 to 1.0 - Default (auto) R: 0.0, G: 0.4, B: 0.77 (Blue)	0.0 至 1.0 - 默认（auto）R: 0.0, G: 0.4, B: 0.77（蓝色）
0: Input (DLSSG/FSRFG/OptiFG) | 1: Time between Present calls | 2: Zero (Only for XeFG)	0: 输入（DLSSG/FSRFG/OptiFG）| 1: Present 调用之间的时间 | 2: 零（仅适用于 XeFG）
2, 4, 8, 16 - Default (auto) is disabled	2, 4, 8, 16 - 默认（auto）为禁用
2, 4, 8, 16 ... - Default (auto) is disabled	2, 4, 8, 16 ... - 默认（auto）为禁用
Accent color for the menu	菜单的强调色
All state values can be checked from here	所有状态值均可在此处查看
Allow XeLL to work without FG on non-Intel cards, Requires updated libxell + libxess_fg	允许 XeLL 在非 Intel 显卡上无需 FG 也能工作，需要更新版的 libxell + libxess_fg
Allows WaitForSingleObject instead of spinning for fence value	使用 WaitForSingleObject 等待栅栏值，而非自旋等待
Allows pacing spinlock to sleep, should reduce CPU usage	允许帧同步自旋锁进入休眠，可降低 CPU 占用
Also blocks Steam Input	同时屏蔽 Steam Input
Always captures and swaps FSR-FG 3.1 swapchain with selected output	始终捕获 FSR-FG 3.1 交换链并与选定的输出进行交换
Always tag Depth as ValidNow	始终将深度标记为 ValidNow
Always tag Hudless as ValidNow	始终将无 HUD 图像标记为 ValidNow
Always tag Velocity as ValidNow	始终将速度矢量标记为 ValidNow
Any set of flags - Default (auto) is 0x10000000 (IGNORE_UI_TEXTURE)	任意标志组合 - 默认（auto）为 0x10000000（IGNORE_UI_TEXTURE）
Any set of flags is accepted, for example 0x14100000	接受任意标志组合，例如 0x14100000
Arturs    - requires dlss-enabler-headless.dll, FSR 3 MFG	Arturs    - 需要 dlss-enabler-headless.dll，FSR 3 MFG
As a downside it will not be able to block inputs when menu is open	缺点是菜单打开时将无法屏蔽输入
Async logging threads	异步日志线程
BECAUSE OF STABILITY ISSUES, WILL NOT BE LOADED WHEN OPTIFG, DLSSG via SL or FSR-FG INPUTS ARE ENABLED	由于稳定性问题，当启用 OPTIFG、通过 SL 的 DLSSG 或 FSR-FG 输入时不会加载
Background alpha for the menu	菜单背景透明度
Background color for the menu	菜单背景颜色
Balanced : 1.7	均衡 : 1.7
Be careful this will disable spoofing for rest of the calls, also does not work on Linux	注意：这会禁用后续所有调用的伪装，并且在 Linux 上无效
Best to use monospace fonts	建议使用等宽字体
Bias to apply DLSS reactive mask when using with FSR	与 FSR 搭配使用时施加 DLSS 反应遮罩的偏置
Black border width of the magnifier, as % of screen height	放大镜黑边宽度，以屏幕高度的百分比表示
Block rarely used resources from using as hudless	阻止极少使用的资源被用作无 HUD 图像
Blue tint for detected edges in Depth Aware sharpening	深度感知锐化中检测到的边缘的蓝色着色量
Building pipeline for XeSS before init	在初始化前为 XeSS 构建管线
By default, only visible when menu is visible and follows the cursor	默认仅在菜单可见时显示，并跟随光标
Can cause stutters, so best to use only when necessary and mentioned	可能导致卡顿，建议仅在必要时且说明中有所提及的情况下使用
Change comparison filters to Anisotropic ones	将比较采样过滤器改为各向异性
Change min/max filters to Anisotropic ones	将最小/最大过滤器改为各向异性
